pitch_type,zone,stand,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,game_pk,fielder_2,at_bat_number,pitch_number,if_fielding_alignment,of_fielding_alignment,home_score_diff,bat_score_diff,bat_win_exp,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game
CH,8,L,2,2,,,,1,5,Top,776461,680779,35,5,Standard,Standard,1,-1,0.324,26,2,1,6
CU,14,L,1,2,,,,1,5,Top,776461,680779,35,4,Standard,Standard,1,-1,0.324,26,2,1,6
FF,3,L,1,1,,,,1,5,Top,776461,680779,35,3,Standard,Standard,1,-1,0.324,26,2,1,6
CU,4,L,1,0,,,,1,5,Top,776461,680779,35,2,Standard,Standard,1,-1,0.324,26,2,1,6
FF,11,L,0,0,,,,1,5,Top,776461,680779,35,1,Standard,Standard,1,-1,0.324,26,2,1,6
ST,8,R,0,0,,,,0,5,Top,776461,680779,34,1,Standard,Standard,1,-1,0.356,25,2,1,6
CH,13,L,3,2,,,,2,4,Top,776461,680779,29,9,Strategic,Standard,1,-1,0.323,32,2,1,6
FF,11,L,3,2,,,,2,4,Top,776461,680779,29,8,Strategic,Standard,1,-1,0.323,32,2,1,6
FS,7,L,3,2,,,,2,4,Top,776461,680779,29,7,Strategic,Standard,1,-1,0.323,32,2,1,6
CU,14,L,2,2,,,,2,4,Top,776461,680779,29,6,Strategic,Standard,1,-1,0.323,32,2,1,6
FF,6,L,2,2,,,,2,4,Top,776461,680779,29,5,Strategic,Standard,1,-1,0.323,32,2,1,6
FF,1,L,2,1,,,,2,4,Top,776461,680779,29,4,Strategic,Standard,1,-1,0.323,32,2,1,6
FF,5,L,2,0,,,,2,4,Top,776461,680779,29,3,Strategic,Standard,1,-1,0.323,32,2,1,6
ST,13,L,1,0,,,,2,4,Top,776461,680779,29,2,Strategic,Standard,1,-1,0.323,32,2,1,6
FF,11,L,0,0,,,,2,4,Top,776461,680779,29,1,Standard,Standard,1,-1,0.323,32,2,1,6
FF,2,R,0,2,,,,1,4,Top,776461,680779,28,4,Standard,Standard,1,-1,0.343,33,2,1,6
ST,6,R,0,2,,,,1,4,Top,776461,680779,28,3,Standard,Standard,1,-1,0.343,33,2,1,6
SI,9,R,0,1,,,,1,4,Top,776461,680779,28,2,Standard,Standard,1,-1,0.343,33,2,1,6
ST,8,R,0,0,,,,1,4,Top,776461,680779,28,1,Standard,Standard,1,-1,0.343,33,2,1,6
